Drug,Indications,Side Effects,Drug Interactions,Dosage
Caduet,,,,
Cafcit,,,,
Cafcit (Caffeine Citrate Injection Solution),,,,
Cafcit (Caffeine Citrate Oral Solution),,,,
Cafcit injection/oral solution,,,,
Cafcit Intravenous,,,,
Cafcit Oral,,,,
Cafergot,,,,
Cafergot (Ergotamine and Caffeine Suppositories),,,,
Cafergot (Ergotamine and Caffeine Tablets),,,,
Cafergot Tablets,,,,
Caffeine,,,,
Caffeine; Caffeine and Sodium Benzoate Injection; Caffeine Citrate,,,,
Caffeine Capsules and Tablets,,,,
Caffeine Citrate,,,,
Caffeine citrate injection/oral solution,,,,
Caffeine Citrate Injection Solution,,,,
Caffeine citrate Intravenous,,,,
Caffeine Citrate Oral Solution,,,,
Caffeine and ergotamine oral/rectal,,,,
Caffeine and sodium benzoate Injection,,,,
Calabar Bean,,,,
Calaclear,,,,
Caladrox,,,,
Caladryl,,,,
Caladryl Clear,,,,
Calagesic,,,,
Calamine,,,,
Calamine Lotion Topical,,,,
Calamine Plain topical,,,,
Calamine topical,,,,
Calamus,,,,
Calan,,,,
Calanolide A,,,,
Calan SR,,,,
Calan (Verapamil Immediate-Release Tablets),,,,
Calan (Verapamil Injection),,,,
Calaspargase pegol,,,,
Calaspargase Pegol-mknl,,,,
Calaspargase pegol-mknl Intravenous,,,,
Calazime Skin Protectant,,,,
Calcibind,,,,
Calci-Chew,,,,
Calcidol,,,,
Calcifediol,,,,
Calciferol,,,,
CalciFol,,,,
CalciFolic-D (Calcium Carbonate/Vit D/Vit B6/Vit B12/Folic Acid with Minerals Chew Wafers),,,,
CalciFolic-D (Vitamins (Multiple/Oral)),,,,
Calcijex,,,,
Calcionate,,,,
Calcipotriene,,,,
Calcipotriene and Betamethasone,,,,
Calcipotriene and Betamethasone Foam,,,,
Calcipotriene and Betamethasone Gel and Topical Suspension,,,,
Calcipotriene and Betamethasone Ointment,,,,
Calcipotriene and Betamethasone Topical Suspension,,,,
Calcipotriene Cream,,,,
Calcipotriene Cream and Ointment,,,,
Calcipotriene Foam,,,,
Calcipotriene Ointment,,,,
Calcipotriene Scalp Solution,,,,
Calcipotriene topical,,,,
Calcitonin,,,,
Calcitonin injection,,,,
Calcitonin nasal,,,,
Calcitonin Nasal Spray,,,,
Calcitonin-Salmon Nasal Spray,,,,
Calcitrate,,,,
Calcitrate (Calcium and Vitamin D Capsules and Tablets),,,,
Calcitrate with D,,,,
Calcitrene,,,,
Calcitrene Topical,,,,
Calcitriol,,,,
Calcitriol Capsules,,,,
Calcitriol Injection,,,,
Calcitriol Injection Solution,,,,
Calcitriol Ointment,,,,
Calcitriol Oral Solution,,,,
Calcitriol (Systemic),,,,
Calcitriol topical,,,,
Calcium,,,,
Calcium acetate,,,,
Calcium Acetate Capsules,,,,
Calcium Acetate Gelcaps,,,,
Calcium Acetate Oral Solution,,,,
Calcium Acetate Tablets,,,,
Calcium Ascorbate,,,,
Calcium carbonate,,,,
Calcium Carbonate Capsules and Tablets,,,,
Calcium Carbonate Chewable Tablets,,,,
Calcium Carbonate Chewable Tablets (Antacid),,,,
"Calcium carbonate, famotidine, and magnesium hydroxide",,,,
Calcium carbonate and magnesium chloride,,,,
Calcium carbonate and magnesium hydroxide,,,,
Calcium Carbonate and Magnesium Hydroxide Chewable Tablets,,,,
"Calcium carbonate, magnesium hydroxide, and simethicone",,,,
Calcium Carbonate and Magnesium Hydroxide Suspension,,,,
Calcium Carbonate and Simethicone,,,,
Calcium Carbonate Suspension,,,,
Calcium Carbonate Tablets (Antacid),,,,
Calcium Carbonate/Vit D/Vit B6/Vit B12/Folic Acid with Minerals Chew Wafers,,,,
Calcium Chloride,,,,
Calcium citrate,,,,
Calcium Disodium Versenate,,,,
Calcium-Folic Acid Plus D,,,,
Calcium Folinate Injection,,,,
Calcium Glubionate,,,,
Calcium Gluconate,,,,
Calcium Gluconate Capsules and Tablets,,,,
Calcium Gluconate Injection,,,,
Calcium Hydroxylapatite,,,,
Calcium lactate,,,,
Calcium/Magnesium/Vitamin D,,,,
"Calcium phosphate, tribasic",,,,
Calcium Salts,,,,
"Calcium supplement Oral, Parenteral",,,,
Calcium and Vitamin D Capsules and Tablets,,,,
Calcium and Vitamin D Chewable Tablets,,,,
Calcium and vitamin D combination,,,,
Calcium and Vitamin D Liquid,,,,
Calcium and Vitamin D Powder,,,,
Caldecort,,,,
Caldesene Topical,,,,
Caldolor,,,,
Caldyphen Clear,,,,
Calendula,,,,
Calfactant,,,,
Calfactant Solution,,,,
Cal-Glu (Calcium Gluconate Capsules and Tablets),,,,
Cal-Glu (Calcium Gluconate Injection),,,,
Calgon Vesta,,,,
Cal-Lac,,,,
Callergy Clear,,,,
Cal-Mint,,,,
Calmoseptine,,,,
Calomist,,,,
Calphron,,,,
Calquence,,,,
Caltrate,,,,
Caltrate 600+D,,,,
Caltrate 600+D Soft Chews,,,,
Cambia,,,,
Camila,,,,
"Camila Oral, Implantation, Parenteral",,,,
"Camila Oral, Parenteral, Vaginal",,,,
Campath,,,,
Camphomex Spray,,,,
Campho-Phenique,,,,
Camphor,,,,
"Camphor, Capsicum, and Menthol Patch",,,,
Camphor Cream and Ointment,,,,
Camphor Gel,,,,
Camphor Inhalation Liquid,,,,
"Camphor, lidocaine, and methyl salicylate topical",,,,
"Camphor and Menthol Cream, Lotion, and Ointment",,,,
Camphor and Menthol Gel,,,,
Camphor and Menthol Patch,,,,
Camphor and menthol topical,,,,
Camphor and Phenol,,,,
Camphor/Pramoxine/Zinc,,,,
Campral,,,,
Camptosar,,,,
Camrese,,,,
Camrese extended-cycle,,,,
CamreseLo,,,,
Camrese Lo extended-cycle,,,,
Canagliflozin,,,,
Canagliflozin and metformin,,,,
Canagliflozin and Metformin Extended-Release Tablets,,,,
Canagliflozin and Metformin Tablets,,,,
Canakinumab,,,,
Canakinumab Subcutaneous,,,,
Canasa,,,,
"Canasa Oral, Rectal",,,,
Canasa Pac rectal,,,,
Canasa rectal,,,,
Cancidas,,,,
Candesartan,,,,
Candesartan Cilexetil,,,,
Candesartan and Hydrochlorothiazide,,,,
Candesartan and Hydrochlorothiazide Tablets,,,,
CanesOral,,,,
Canesten Topical,,,,
Canges-HC,,,,
Canges-XP,,,,
Cangrelor,,,,
Cangrelor Intravenous,,,,
Cangrelor tetrasodium,,,,
CanineAid,,,,
Cankaid,,,,
Cannabidiol,,,,
Cantharidin,,,,
"Cantharidin, Podophyllin Resin, and Salicylic Acid",,,,
Cantil,,,,
Capacet,,,,
Capastat,,,,
Capastat Sulfate,,,,
CapCof,,,,
Capecitabine,,,,
Capers,,,,
Capex,,,,
Capex Shampoo,,,,
Caphosol,,,,
Capital & Codeine,,,,
Capital w/Codeine,,,,
Capitrol,,,,
Capitrol Topical,,,,
Caplacizumab,,,,
Caplacizumab-yhdp,,,,
"Caplacizumab-yhdp Intravenous, Subcutaneous",,,,
Caplyta,,,,
Capmatinib,,,,
Capmist DM,,,,
Capoten,,,,
Capozide,,,,
Capozide 25/15,,,,
Capozide 25/25,,,,
Capozide 50/15,,,,
Capozide 50/25,,,,
Caprelsa,,,,
Capreomycin,,,,
Capreomycin Injection,,,,
Capreomycin Sulfate,,,,
Capron DM,,,,
Capron DMT,,,,
Caprylic Acid,,,,
Caprylidene,,,,
Capsagel,,,,
Capsagel Extra Strength,,,,
Capsagel Maximum Strength,,,,
Capsagel Topical,,,,
Capsagesic-HP Arthritis Relief Topical,,,,
Capsaicin,,,,
Capsaicin 8% Patch,,,,
"Capsaicin Cream, Gel, Liquid, and Lotion",,,,
Capsaicin and diclofenac topical,,,,
Capsaicin in Lidocaine Cream,,,,
"Capsaicin, lidocaine, menthol, and methyl salicylate topical",,,,
Capsaicin and Menthol Cream and Gel,,,,
Capsaicin and Menthol Patch,,,,
Capsaicin Patch,,,,
Capsaicin topical,,,,
Capsfenac Pak,,,,
Capsicum Peppers,,,,
Capsiderm,,,,
Capsiderm Patch,,,,
Capsin,,,,
Capsinac,,,,
Capsin Topical,,,,
Capstar,,,,
Capsules,,,,
Captique,,,,
Captopril,,,,
Captopril and Hydrochlorothiazide,,,,
Captopril Tablets,,,,
Captracin,,,,
Captracin Patch,,,,
Capxib,,,,
Capzasin,,,,
Capzasin-HP,,,,
Capzasin-P,,,,
Capzasin Quick Relief,,,,
Carac,,,,
Carac Topical,,,,
Carafate,,,,
Carafate (Sucralfate Oral Suspension),,,,
Carafate (Sucralfate Tablets),,,,
Carafate Tablets,,,,
Carbachol,,,,
Carbachol ophthalmic,,,,
Carbaglu,,,,
Carbamazepine,,,,
Carbamazepine Capsules,,,,
Carbamazepine Chewable,,,,
Carbamazepine Chewable Tablets,,,,
Carbamazepine ER,,,,
Carbamazepine Extended-Release Capsules (Carbatrol),,,,
Carbamazepine Extended-Release Capsules (Equetro),,,,
Carbamazepine Extended-Release Tablets,,,,
Carbamazepine Intravenous,,,,
Carbamazepine Oral Suspension,,,,
Carbamazepine Tablets,,,,
Carbamide Peroxide,,,,
Carbamide Peroxide Liquid,,,,
Carbamide peroxide otic,,,,
Carbamide Peroxide Otic Solution,,,,
Carbaphen 12,,,,
Carbaphen CH,,,,
Carbaphen Ped CH,,,,
Carbastat,,,,
Carbatrol,,,,
Carbatuss,,,,
Carbetapentane and chlorpheniramine,,,,
Carbetapentane and guaifenesin,,,,
Carbetapentane and pseudoephedrine,,,,
Carbetocin Intravenous,,,,
Carbidopa,,,,
"Carbidopa, entacapone, and levodopa",,,,
Carbidopa and levodopa,,,,
"Carbidopa, Levodopa and Entacapone",,,,
"Carbidopa, Levodopa and Entacapone Tablets",,,,
Carbidopa and levodopa enteral,,,,
Carbidopa and Levodopa Enteral Suspension,,,,
Carbidopa and Levodopa Extended-Release Capsules,,,,
Carbidopa and Levodopa Extended-Release Tablets,,,,
Carbidopa and Levodopa ODT,,,,
Carbidopa and Levodopa Orally Disintegrating Tablets,,,,
Carbidopa and Levodopa Tablets,,,,
Carbidopa Tablets,,,,
Carbihist,,,,
Carbinoxamine,,,,
Carbinoxamine Extended-Release Suspension,,,,
Carbinoxamine Liquid,,,,
Carbinoxamine Maleate,,,,
Carbinoxamine Tablets,,,,
Carbocaine,,,,
Carbocaine 2% with Neo-Cobefrin,,,,
Carbocaine HCl,,,,
Carbocaine Injection,,,,
Carbocaine with Neo-Cobefrin,,,,
Carbocaine Preservative-Free,,,,
Carbofed DM,,,,
Carbogen,,,,
Carbohydrate and electrolyte combination,,,,
Carb-O-Lac5 topical,,,,
Carb-O-Lac HP topical,,,,
Carbol-fuchsin solution Topical,,,,
Carbon Dioxide,,,,
Carbon Dioxide Air Mixture,,,,
Carbon Dioxide Nitrogen Mix,,,,
Carbon Dioxide Oxygen Mixture,,,,
Carbon Dioxide-Oxygen-Nitrogen Mixture,,,,
Carbon Dioxide Refrigerated Gas,,,,
Carbon Dioxide Refrigerated Liquid,,,,
"Carbonic anhydrase inhibitor Oral, Parenteral",,,,
Carbonyl iron,,,,
Carb-O-Philic/10,,,,
Carboplatin,,,,
Carboplatin Intravenous,,,,
Carboprost,,,,
Carboprost Injection,,,,
Carboprost Intramuscular,,,,
Carboprost Tromethamine,,,,
Carb-O-Sal5,,,,
Carboxine,,,,
Carboxymethylcellulose,,,,
Cardec,,,,
Cardene,,,,
Cardene Injection,,,,
Cardene Intravenous,,,,
Cardene IV,,,,
Cardene SR,,,,
Cardiogen-82,,,,
Cardiogen-82 Generator,,,,
Cardiolite,,,,
Cardioplegic,,,,
Cardioquin,,,,
Cardioxane Injection,,,,
Cardizem,,,,
Cardizem CD,,,,
Cardizem (Diltiazem Injection),,,,
Cardizem (Diltiazem Tablets),,,,
Cardizem Intravenous,,,,
Cardizem LA,,,,
Cardura,,,,
Cardura XL,,,,
CareAll,,,,
Careone Acid Reducer,,,,
Care One Acid Reducer Plus Antacid,,,,
Careone Antibacterial Foaming Kitchen,,,,
Careone Hair Regrowth Treatment for Men,,,,
Care One Sleep Aid,,,,
Carfilzomib,,,,
Carfilzomib Intravenous,,,,
Carglumic acid,,,,
Carimene N/F,,,,
Carimune,,,,
Carimune IGIV,,,,
Carimune NF,,,,
Cariprazine,,,,
Cariprazine Hydrochloride,,,,
Carisoprodol,,,,
Carisoprodol and Aspirin,,,,
"Carisoprodol, Aspirin, and Codeine",,,,
Carlson D,,,,
Carmex,,,,
Carmol,,,,
Carmol HC,,,,
Carmustine,,,,
Carmustine Implantation,,,,
Carmustine Injection,,,,
Carmustine injection/implant,,,,
Carmustine Intracranial Implant,,,,
Carmustine Intravenous,,,,
Carnexiv,,,,
Carnitine,,,,
Carnitor,,,,
Carnitor Injection,,,,
Carnitor (Levocarnitine Capsules and Tablets),,,,
Carnitor (Levocarnitine Injection Solution),,,,
Carnitor (Levocarnitine Oral Solution),,,,
Carnitor Oral Solution,,,,
Carnitor SF,,,,
Carnitor Sugar-Free Solution,,,,
Carnitor Tablets,,,,
Caroguard,,,,
CaroSpir,,,,
Carospir Suspension,,,,
Carpaquin,,,,
Carprofen,,,,
Carrington Antifungal,,,,
Carrington Antifungal Topical,,,,
Carrot Oil,,,,
Carteolol,,,,
Carteolol ophthalmic,,,,
Cartia XT,,,,
Carticel,,,,
Carvedilol,,,,
Carvedilol Capsule,,,,
Carvedilol Extended-Release Capsules,,,,
Carvedilol Tablets,,,,
Cascara,,,,
Casodex,,,,
Caspofungin,,,,
Caspofungin Acetate,,,,
Caspofungin Acetate Injection,,,,
Caspofungin Intravenous,,,,
Casporyn HC,,,,
Casporyn HC Ear Drops,,,,
Cassipa,,,,
Castellani Paint Modified Solution,,,,
Castiva Cooling,,,,
Castiva Warming,,,,
Castor,,,,
Castor Oil,,,,
Cataflam,,,,
Catapres,,,,
Catapres-TTS,,,,
Catapres-TTS-1 Transdermal,,,,
Catapres-TTS-2 Transdermal,,,,
Catapres-TTS-3 Transdermal,,,,
Cat Hair Standardized,,,,
Cathflo Activase,,,,
Catnip,,,,
Catosal,,,,
Cat Pelt Standardized,,,,
Cat's claw,,,,
Cattlyst,,,,
Caucasian Whortleberry,,,,
Caustic Dressing Powder,,,,
Caverject,,,,
CaverJect  Impulse,,,,
CaviRinse,,,,
CaviRinse Sodium Fluoride Oral Rinse,,,,
Cayston,,,,
Caziant,,,,
CCNSB Capsules,,,,
Cecon,,,,
Cedax,,,,
Cedax (Ceftibuten Capsules),,,,
Cedax (Ceftibuten Oral Suspension),,,,
Ceenu,,,,
Cefaclor,,,,
Cefaclor Capsules,,,,
Cefaclor Extended-Release Tablets,,,,
Cefaclor Suspension,,,,
Cefa-Drops,,,,
Cefadroxil,,,,
Cefadroxil Capsules,,,,
Cefadroxil Capsules and Tablets,,,,
Cefadroxil Oral Suspension,,,,
Cefadroxil Suspension,,,,
Cefazolin,,,,
Cefazolin and Dextrose,,,,
Cefazolin injection,,,,
Cefazolin Sodium,,,,
Cefdinir,,,,
Cefdinir Capsules,,,,
Cefdinir Suspension,,,,
Cefditoren,,,,
Cefditoren pivoxil,,,,
Cefepime,,,,
Cefepime Hydrochloride,,,,
Cefepime Hydrochloride and Dextrose,,,,
Cefepime injection,,,,
Cefiderocol,,,,
Cefiderocol Intravenous,,,,
Cefiderocol Sulfate Tosylate,,,,
Cefixime,,,,
Cefixime Capsules,,,,
Cefixime Capsules and Tablets,,,,
Cefixime Chewable Tablets,,,,
Cefixime Oral Suspension,,,,
Cefizox Injection,,,,
Cefobid,,,,
Cefobid injection,,,,
Cefoperazone,,,,
"Cefoperazone Intramuscular, Intravenous",,,,
Cefotan,,,,
Cefotaxime,,,,
Cefotaxime and Dextrose,,,,
Cefotaxime Injection,,,,
Cefotaxime Sodium,,,,
Cefotetan,,,,
Cefotetan and Dextrose,,,,
Cefotetan Disodium,,,,
Cefotetan Injection,,,,
Cefoxitin,,,,
Cefoxitin and Dextrose Injection,,,,
Cefoxitin Intravenous,,,,
Cefoxitin Sodium,,,,
Cefpodoxime,,,,
Cefpodoxime Proxetil,,,,
Cefpodoxime Proxetil Suspension,,,,
Cefpodoxime Suspension,,,,
Cefpodoxime Tablets,,,,
Cefprozil,,,,
Cefprozil Oral Suspension,,,,
Cefprozil Tablets,,,,
Ceftaroline,,,,
Ceftaroline Fosamil,,,,
Ceftaroline Intravenous,,,,
Ceftazidime,,,,
Ceftazidime and Avibactam,,,,
Ceftazidime and avibactam Intravenous,,,,
Ceftazidime and Avibactam Sodium,,,,
Ceftazidime and Dextrose,,,,
Ceftazidime injection,,,,
Ceftibuten,,,,
Ceftibuten Capsules,,,,
Ceftibuten Oral Suspension,,,,
Ceftin,,,,
Ceftin (Cefuroxime Oral Suspension),,,,
Ceftin (Cefuroxime Tablets),,,,
"Ceftin Tablets, Oral Suspension",,,,
Ceftizoxime,,,,
Ceftolozane Sulfate and Tazobactam Sodium,,,,
Ceftolozane and tazobactam,,,,
Ceftolozane and tazobactam Intravenous,,,,
Ceftriaxone,,,,
Ceftriaxone and Dextrose,,,,
Ceftriaxone injection,,,,
Ceftriaxone Sodium,,,,
Cefuroxime,,,,
Cefuroxime Axetil,,,,
Cefuroxime Axetil Oral Suspension,,,,
Cefuroxime Dextrose,,,,
Cefuroxime Injection,,,,
"Cefuroxime Injection, Intravenous",,,,
Cefuroxime Oral Suspension,,,,
Cefuroxime Sodium,,,,
Cefuroxime Tablets,,,,
Cefzil,,,,
Celebrex,,,,
Celecoxib,,,,
Celecoxib Capsules,,,,
Celery,,,,
Celestoderm-V,,,,
Celestoderm-V/2,,,,
Celestone,,,,
Celestone Soluspan,,,,
Celestone Soluspan injection,,,,
Celexa,,,,
Celexa (Citalopram Solution),,,,
Celexa (Citalopram Tablets),,,,
Celexib 100- EZS,,,,
Cellcept,,,,
CellCept (Mycophenolate Mofetil Capsules),,,,
CellCept (Mycophenolate Mofetil Injection Solution),,,,
CellCept (Mycophenolate Mofetil Oral Suspension),,,,
CellCept (Mycophenolate Mofetil Tablets),,,,
Cellcept Oral,,,,
Cellugel,,,,
Cellulose and Citric Acid,,,,
Celluvisc,,,,
Celontin,,,,
Celontin Kapseals,,,,
Cemill,,,,
Cemill 1000,,,,
Cemill 500,,,,
Cemiplimab,,,,
Cemiplimab-rwlc,,,,
Cemiplimab-rwlc Intravenous,,,,
CEM-Urea,,,,
Cenafed,,,,
Cenegermin,,,,
Cenegermin-bkbj,,,,
Cenegermin-bkbj Ophthalmic,,,,
Cenestin,,,,
Cenestin Oral,,,,
CenFol,,,,
Cenobamate,,,,
Cenovia,,,,
Centamin,,,,
Centany,,,,
Centany AT,,,,
Centany AT Kit,,,,
Centany AT Topical,,,,
Centany Topical,,,,
Centaury,,,,
Center-Al,,,,
Centratex,,,,
Centrine,,,,
Centrum,,,,
Centrum Cardio,,,,
Centrum Flavor Burst,,,,
Centrum Kids Complete,,,,
Centrum MultiGummies,,,,
Centrum Performance,,,,
Centrum Silver,,,,
Centrum Silver Ultra Men's,,,,
Centrum Silver Ultra Women's,,,,
Centrum Ultra Men's,,,,
Centrum Ultra Women's,,,,
Centruroides Immune F(abâ€™)2 (Equine),,,,
Centruroides (Scorpion) Immune F(abâ€²)2 (Equine),,,,
Centussin DHC,,,,
Cepacol Dual Relief,,,,
Cepacol Fizzlers,,,,
Cepacol Regular Strength,,,,
Cepacol Sore Throat (Benzocaine and Menthol Lozenges),,,,
Cepacol Sore Throat Max Numb oral mucous membrane,,,,
Cepacol Sore Throat (Menthol Lozenges),,,,
Cepacol Viractin,,,,
Cephadyn,,,,
Cephalexin,,,,
Cephalexin Capsules and Tablets,,,,
Cephalexin Suspension,,,,
Cephalothin,,,,
Cephradine,,,,
Ceprotin,,,,
Ceptaz,,,,
Cequa,,,,
Cequa (Cyclosporine (Ophthalmic)),,,,
Cequa (Cyclosporine (Ophthalmic) Single-Dose Vials),,,,
Cequa Ophthalmic Solution,,,,
CeraLyte 50,,,,
CeraLyte 70,,,,
"CeraLyte 70 (Electrolyte Oral Solution, Freezer-Pops, and Jell Cups)",,,,
CeraLyte 70 (Electrolyte Powder Packets),,,,
CeraLyte 90,,,,
CeraORS 75 Natural,,,,
Cera Sport,,,,
"CeraSport (Electrolyte Oral Solution, Freezer-Pops, and Jell Cups)",,,,
CeraSport (Electrolyte Powder Packets),,,,
CeraSport Ex1,,,,
CeraVe,,,,
CeraVe SA Renewing,,,,
Cerdelga,,,,
Cerebyx,,,,
Ceredase,,,,
Cerefolin,,,,
CerefolinNAC,,,,
Cerenia,,,,
Ceretec,,,,
Cereus Drops 6x,,,,
Cerezyme,,,,
Cerianna Injection,,,,
Cerisa Wash,,,,
Ceritinib,,,,
Cerliponase alfa,,,,
Cerliponase Alfa Injection,,,,
Cerliponase alfa Intracerebroventricular,,,,
Ceron,,,,
Ceron-DM,,,,
Cerovel,,,,
Cerovite Jr,,,,
Certolizumab,,,,
Certolizumab Pegol,,,,
Certolizumab Prefilled Syringes,,,,
Certolizumab Subcutaneous,,,,
Certolizumab Vials,,,,
Cerubidine,,,,
Cervarix,,,,
Cervarix Intramuscular,,,,
Cervidil,,,,
Cesamet,,,,
Cesia,,,,
Cetacaine,,,,
Cetacaine Topical Anesthetic,,,,
Cetacaine Topical Anesthetic Gel,,,,
Cetacaine Topical Anesthetic Spray,,,,
Cetacort,,,,
Cetafen,,,,
Cetaphil Lotion,,,,
Ceta Plus,,,,
Cetiri D,,,,
Cetirizine,,,,
Cetirizine Capsules,,,,
Cetirizine Capsules and Tablets,,,,
Cetirizine Chewable Tablets,,,,
Cetirizine Hydrochloride,,,,
Cetirizine Hydrochloride eent,,,,
Cetirizine Injection,,,,
Cetirizine Intravenous,,,,
Cetirizine Liquid,,,,
Cetirizine (Ophthalmic),,,,
Cetirizine Orally Disintegrating Tablets,,,,
Cetirizine Oral Solution,,,,
Cetirizine and pseudoephedrine,,,,
Cetirizine (Systemic),,,,
Cetirizine Tablets,,,,
Cetirizine Tablets Chewable,,,,
Cetraxal,,,,
Cetrorelix,,,,
Cetrorelix Acetate,,,,
Cetrorelix injectable,,,,
Cetrorelix Subcutaneous,,,,
Cetrotide,,,,
Cetrotide injectable,,,,
Cetuximab,,,,
Cetuximab Intravenous,,,,
Cetylev,,,,
Cevi-Bid,,,,
Cevimeline,,,,
Cevimeline Hydrochloride,,,,
Ce-Vi-Sol,,,,
Chamomile,,,,
Chamosyn,,,,
Chantix,,,,
Chantix Continuing Month Pak,,,,
Chantix Starter Pack,,,,
Chantix Starting Month Box,,,,
Chantix Starting Month Pak,,,,
Chantix Start Month Pak,,,,
Chaparral,,,,
Chap Stick,,,,
Charcoal,,,,
"Charcoal, Activated",,,,
Charcoal Plus DS,,,,
Char-Flo with Sorbitol,,,,
Charlotte 24 Fe,,,,
Chaste Tree,,,,
Chateal,,,,
Chateal EQ,,,,
Cheetah Suspension,,,,
Chelated Magnesium,,,,
Chemet,,,,
Chenodal,,,,
Chenodiol,,,,
Cheracol with Codeine,,,,
Cheracol Sore Throat,,,,
Cheratussin AC,,,,
Cheratussin DAC,,,,
Chia,,,,
Chicken Soup,,,,
Chickweed,,,,
Chicory,,,,
Chiggerex,,,,
Children's Acetaminophen,,,,
Children's Acetaminophen Bubble Gum Flavor,,,,
Children's Acetaminophen - Grape,,,,
Children's Advil,,,,
Childrens All Day Allergy Liquid,,,,
Children's Allegra Allergy,,,,
Children's Allergy,,,,
Childrens Allergy Relief CVS,,,,
Childrens Cetirizine Oral Solution,,,,
Children's Claritin Allergy,,,,
Children's Cold & Allergy,,,,
Children's Cold & Cough DM,,,,
Children's Gas-X Tongue Twisters,,,,
Children's Mapap,,,,
Children's Motrin,,,,
Children's Motrin Berry Flavor,,,,
Children's Motrin Bubble Gum Flavor,,,,
Childrens Motrin Cold,,,,
Children's Motrin Grape Flavor,,,,
Children's Motrin (Ibuprofen Chewable Tablets),,,,
Children's Motrin (Ibuprofen Suspension),,,,
Childrens Mucinex Cough,,,,
Childrenâ€™s Non-Aspirin Cold/Cough,,,,
Children's Nortemp,,,,
Children's NyQuil Cold & Cough,,,,
Children's Pedia Care,,,,
Childrenâ€™s Plus Flu,,,,
Childrenâ€™s Plus Multi-Symptom Cold,,,,
Children's Silapap,,,,
Childrens Silfedrine,,,,
Children's Triacting,,,,
Children's Triacting Daytime,,,,
Children's Triacting Night Time,,,,
Children's Triaminic Cough/Cold Nighttime,,,,
Children's Triaminic Cough and Sore Throat,,,,
Children's Triaminic Flu Cough & Fever,,,,
Children's Tylenol,,,,
Children's Tylenol Meltaways,,,,
Childrenâ€™s Tylenol Plus,,,,
Children's Tylenol Plus Cough and Runny Nose,,,,
Children's Tylenol Suspension,,,,
Chinese Cucumber,,,,
Chinese Foxglove,,,,
Chinese Mugwort,,,,
ChiRhoStim,,,,
Chitosan,,,,
Chlo-Amine,,,,
Chlo Hist,,,,
Chlophed,,,,
Chlophedianol,,,,
Chlophedianol and Dexbrompheniramine,,,,
Chlophedianol/Dexbrompheniramine/Phenylephrine Liquid,,,,
"Chlophedianol, Dexbrompheniramine, and Pseudoephedrine",,,,
"Chlophedianol, dexchlorpheniramine, and pseudoephedrine",,,,
"Chlophedianol, Dexchlorpheniramine, and Pseudoephedrine Drops",,,,
"Chlophedianol, Dexchlorpheniramine, and Pseudoephedrine Liquid",,,,
Chlophedianol/Guaifenesin Liquid,,,,
"Chlophedianol, Guaifenesin, and Phenylephrine Liquid",,,,
Chlophedianol/Guaifenesin/Pseudoephedrine Tablets,,,,
"Chlophedianol, phenylephrine, and pyrilamine",,,,
Chlophedianol and pseudoephedrine,,,,
Chlophedianol and Pyrilamine,,,,
Chloral Hydrate Capsules,,,,
Chloral Hydrate Syrup,,,,
Chlorambucil,,,,
Chloramphenicol,,,,
Chloramphenicol Injection,,,,
Chloramphenicol (Ophthalmic),,,,
"Chloramphenicol Oral, Intravenous, Injection",,,,
Chloramphenicol Otic,,,,
Chloramphenicol Sodium Succinate,,,,
Chloramphenicol (Systemic),,,,
ChloraPrep One-Step,,,,
Chloraseptic,,,,
Chloraseptic (Benzocaine and Menthol Lozenges),,,,
Chloraseptic (Benzocaine and Menthol Strips),,,,
Chloraseptic Kids,,,,
Chloraseptic (Phenol Oral Spray and Rinse),,,,
Chloraseptic Sore Throat Lozenge,,,,
Chloraseptic Sore Throat Spray,,,,
Chloratet 100,,,,
Chloratet 90,,,,
Chlorcyclizine and phenylephrine,,,,
Chlorcyclizine and pseudoephedrine,,,,
Chlorcyclizine and Pseudoephedrine Liquid,,,,
Chlorcyclizine and Pseudoephedrine Tablets,,,,
Chlordiazepoxide,,,,
Chlordiazepoxide and amitriptyline,,,,
Chlordiazepoxide Capsules,,,,
Chlordiazepoxide and clidinium,,,,
Chlordiazepoxide and Clidinium Capsules,,,,
Chlordiazepoxide hydrochloride,,,,
Chlorex A,,,,
Chlorex-A 12,,,,
Chlorhexidine,,,,
Chlorhexidine Gluconate eent,,,,
Chlorhexidine Gluconate (Oral),,,,
Chlorhexidine gluconate oral rinse,,,,
Chlorhexidine Gluconate (Topical),,,,
Chlorhexidine Periodontal,,,,
Chlorhexidine Scrub,,,,
Chlorhexidine Solution,,,,
Chlorhexidine topical,,,,
Chlorhexidine Topical application,,,,
Chlor-Mal,,,,
ChlorMax,,,,
Chloromag,,,,
Chloromag injection,,,,
Chloromycetin,,,,
Chloromycetin Ophthalmic,,,,
Chloromycetin Ophthalmic Ointment,,,,
"Chloromycetin Oral, Intravenous, Injection",,,,
Chloromycetin Otic,,,,
Chloromycetin Otic Solution,,,,
Chloromycetin Sodium Succinate,,,,
Chlorophyll,,,,
Chlorophyllin,,,,
Chloroprocaine,,,,
Chloroprocaine Injection,,,,
Chloroptic,,,,
Chloroquine,,,,
"Chloroquine Oral, Intramuscular",,,,
Chloroquine Phosphate,,,,
Chlorostat,,,,
Chlorothiazide,,,,
Chlorothiazide Injection,,,,
